promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
미리미리! 가정의달 기프트🎁,23.04.21,23.05.18,가정의 달,"

가정의 달
감사한 마음만큼미리 준비해요
기프트 최대 40%할인


","[' 가정의 달 기프트 ', ' 5.1-5.8 기간 한정! 선물 쿠폰 가정의달 선물쿠폰 3,000원 APP 선물하기 4만원 이상 구매 시 발급 및 사용기간: 23.05.01 - 23.05.08 APP에서 다운받아 보세요!', ' 선물할수록 커지는 혜택 선물하기 이용 금액만큼 커지는 경품에 도전해 보세요! 코지마 안마의자1명 신라호텔 1박2일 숙박권2명 CJ외식 기프트카드 10만원권100명 투썸플레이스 아메리카노1,000명 APP에서 선물혜택에 도전해보세요!']","['전체', '건강하게 힐링선물💪', '멋지게 스몰럭셔리✨', '아름답게 뷰티선물💖', '센스만점 센스선물💯', '\xa0', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102890002&trackingCd=Home_Planshop1_1_PROD
🌸APP뿐 페스티벌🌸,23.04.17,23.04.30,APP뿐 페스티벌,"

APP뿐 페스티벌
기다리던축제의시작
매장 쿠폰, 100% 증정 경품


",[],[],https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103200001&trackingCd=Home_Planshop1_2_PROD
4월 올영pick,23.04.01,23.04.30,올영 p!ck,"

올영 p!ck
올리브영이p!ck한이 달의 브랜드
최대 50% 한정특가


",[' 올영p!ck 4월 '],"['전체', ""올리브영에서 '인생내컬' 찾기💖"", '각질 모공 한번에 봄!격해결🎯', '타고난 피부처럼, 매끈VS윤광✨', '피부지킴이 수분,진정,항산화😎', '10년간 판매1위 아이소이 잡티세럼🥇', '마스크 벗고 자신있게 SMILE BEAUTY😁', '향기로운 SPRING SHOWER🛁', '두피 일타 강사👍', 'I AM SHAMPOO💎', '피로 싹! 주름 쫙! 편안함 UP!🔥', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910005&trackingCd=Home_Planshop1_3_PROD
올영 단독 공개! 이니스프리 NEW 세럼✨,none,none,SHOWCASE,"

SHOWCASE
장원영의 피부는오늘도 맑음!
이니스프리 NEW 세럼 론칭&할인


","[' SHOWCASE IS 올리브영 쇼케이스는 지금까지 어디에서도 선보인 적 없는 브랜드의 신상 아이템을최초로 공개하는 콘텐츠입니다. ', ' LAUNCHING NOW! 무한한 자연의 에너지를 품은 섬, 이니스프리가 드디어 올리브영에 옵니다. 신규 입점을 기념하여 ‘비타C 그린티 엔자임 잡티 토닝 세럼’을 올리브영에서 가장 먼저 소개할게요. ', '이니스프리 장바구니 쿠폰 다운받기', '꼭 알아두세요', ' \t\t\t누구보다 바쁜 날들을 보내고 있지만 언제나 투명함을 유지하는 장원영의 피부 비결. \t\t', ' \t\t\t스케줄이 없는 날에는 푹 쉬는게 정답! 알람 없이 마음 놓고 늦잠자고 일어나 먹고 싶은 것 먹기. 몸과 마음의 편안함이 곧 피부에 드러날테니까! \t\t', ' What’s new 이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 ', ' Wonyoung says \t\t\t\t메이크업만으로는 커버할 수 없는 게 있어요. \t\t\t\t바로 피부 안쪽에서 새어 나오는 투명함이죠. \t\t\t \t\t\t\t하나만 발라도 \t\t\t\t잡티 케어와 필링 관리가 동시에 가능한 \t\t\t\t‘비타C 그린티 엔자임 세럼’은 얼굴을 \t\t\t\t매끈한 유리알처럼 가꿔줘 애정하는 제품이에요. \t\t\t ', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 상품보기', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 장바구니 담기', ' 워터리한 앰플 제형 속 영롱한 반짝임의 정체는 바로 비타민C 캡슐. 얼굴에 펴 바를 때 비타민C 캡슐이 피부 위에 자연스럽게 흡수되면서 피붓결을 매끈하게 가꿔준다. 아침저녁으로 꾸준히 사용하면 피부톤이 화사해지는 효과도 기대할 수 있다. 충분히 쉬었다면 컨디션을 끌어올릴 일만 남았다. 필라테스와 플라잉 요가로 디톡스하고 스페셜 케어로 눈부시게 맑은 얼굴 만들기! ', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 상품보기', '이니스프리 레티놀 시카 흔적 앰플 30ml 상품보기', '이니스프리 그린티 씨드 히알루론산 세럼 80ml 상품보기', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 상품보기', ' 더 빠르고 강력한 피부 개선을 원한다면 세럼+세럼 레이어링 공식을 기억할 것. 피부 고민에 따라 세럼을 섞어 사용하는 방법이다. ', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 상품보기', '이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼 30ml 장바구니 담기', '이니스프리 그린티 씨드 히알루론산 세럼 80ml 상품보기', '이니스프리 그린티 씨드 히알루론산 세럼 80ml 장바구니 담기', '이니스프리 레티놀 시카 흔적 앰플 30ml 상품보기', '이니스프리 레티놀 시카 흔적 앰플 30ml 장바구니 담기', ' 피부의 투명함은 무엇보다 꾸준한 관리가 필수! 이니스프리 비타C 그린티 엔자임 잡티 토닝 세럼과 함께라면 오늘보다 내일 더 화사해질 얼굴을 기대해봐도 좋다. ', ' Editor 이혜리 Designer 윤진 Publisher 문혜주 Photography 이니스프리 제공 ', '닫기']","['전체', '세럼+세럼 레이어링✨', '내 피부 속 수분 포텐💧', '이니스프리도 올리브영에서🌿']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo= 500000102030021&trackingCd=Home_Planshop1_4_PROD
공기보다 가벼운 NEW 톤업 클리어✨,23.04.24,23.04.30,라로슈포제,"

라로슈포제
99% 공기성분으로번들거림 잡아요
선크림 최대 31%할인


",[' 민감피부 톤업 선크림 유비데아 톤업 클리어 라로슈포제 최대 31% 단독 특가'],"['전체', '민감피부를 위한 NEW 톤업 선케어😎', '모공청정. 피지, 각질까지 확실하게💦', '진정을 넘어 손상케어까지💙']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790046&trackingCd=Home_Planshop1_5_PROD
필리밀리x레오제이 NEW 쉐딩브러시,23.04.24,23.04.30,필리밀리,"

필리밀리
한 끗 차이로선명해진비주얼
필리밀리X레오제이 쉐딩브러시 선론칭


","['필리밀리 쉐딩브러시 3종(코/턱/헤어라인)', '쉐딩브러시 3개 이상 구매시 최대 1만원 할인쿠폰']","['전체', '필리밀리x레오제이  new 쉐딩브러시 3종😍', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102950008&trackingCd=Home_Planshop1_6_PROD
피부가 편안한 무표백 좋은느낌,23.04.24,23.04.30,좋은느낌,"

좋은느낌
더워질수록산뜻한 걸찾게 돼요
최대 55%할인


",['04.24-04.30 좋은느낌 피부가 편안한 무표백 100% 유기농순면커버 최대할인 55%에 특별선물까지!'],"['전체', '좋은느낌 BEST', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860035&trackingCd=Home_Planshop1_7_PROD
정샘물 단독기획 최대 20% 할인💛,23.04.24,23.04.30,정샘물,"

정샘물
결국 다시돌아오는누더쿠션
정샘물데이 최대 20%할인


",[' Spring of Nuder 4월 정샘물데이 UPTO 20% OFF'],"['전체', '정샘물 BEST 최대 20% 할인 🤍', '정샘물의 스킨케어 비법! 비긴스💛', '정샘물 키즈 전 품목 15%💜']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780044&trackingCd=Home_Planshop1_8_PROD
웜톤은 주목🧡 에뛰드 웜톤 총집합! ,23.04.17,23.04.30,에뛰드,"

에뛰드
설레는봄날 질감의따스한 컬러
웜톤 기획전 최대 30%할인


",[' ETUDE 웜톤 기획전 up to 30%'],"['전체', '에뛰드 웜톤 취향저격템🧡', '에뛰드 BEST 컬러아이템', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750082&trackingCd=Home_Planshop1_9_PROD
비비 PICK💚 아이엠 올리브영 런칭!,23.04.01,23.04.30,아이엠,"

아이엠
유럽 왕실의레시피로두피를 케어해요
최대 25%할인


","[' 기능성, 특허성분을 담은 * 유황 헤어 케어 * 아름다움에 대한 특별한 정의']","['전체', '아이엠 BEST 할인+증정💚', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102780035&trackingCd=Home_Planshop1_10_PROD
