promo_title,promo_start_dt,promo_end_dt,banner_title,banner_desc,promo_contents,promo_catgs,banner_link
W CARE💜,23.03.10,23.03.31,W CARE,"

W CARE
그날에필요한 제품올영이 알려줘요
웹드와 함께 W케어 시작해요


",[],"['전체', '월경 시작 직전 몸도 마음도 무거울 때', '예민해지고 찝찝한 월경날', '월경 끝! 홀가분한 순간']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000103120001&trackingCd=Home_Planshop1_1_PROD
3월 올영pick,23.03.02,23.03.31,올영 p!ck,"

올영 p!ck
올리브영이p!ck한이 달의 브랜드
스킨케어 대표 브랜드


",[' 올영p!ck 3월 '],"['전체', '깊이가 다른 진정 맑은 수분✨', '봄처럼 화사하게 쓱쓱 싹싹🛁', '세상 편한 고민케어💫', '수분광 보습템💦', '에브리데이 우먼케어 W케어💖', '나의 쿠션 MBTI는❔', '찰랑찰랑 머릿결 케어Hair⚡', '스페셜 바디 케어🌿', '단 하나의 트리트먼트💎', '가벼운 새학기🎈', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102910004&trackingCd=Home_Planshop1_2_PROD
회복을 위한 루틴 with 라로슈포제,none,none,라로슈포제,"

라로슈포제
피부가 좋아하는집중 회복 루틴
최대 35%할인


","[' Brandweek+ Only Brand Week SPECIAL PRICE 화보에서 소개하는 라로슈포제 베스트셀러를 올리브영 단독 최대 35% 할인된 가격으로 만나보세요. ', 'BENEFIT', 'EDITORIAL', ' BENEFIT. 01 라로슈포제 제품 구매 시 사용 가능한 장바구니 쿠폰을 드려요. 5천원 장바구니 쿠폰 10% 3만원 이상 구매 시 최대 5천원 할인 1만원 장바구니 쿠폰 10% 5만원 이상 구매 시 최대 1만원 할인 APP에서 다운받으세요 ', '꼭 알아두세요', ' BENEFIT. 02 기간 내 시카밤 더블 기획 포함 라로슈포제 제품 6만원 이상 구매 시 추첨을 통해 증정품을 드려요. 행사 기간 2023.03.13 - 3.31 1등 OY기프트카드 10만원 10명 2등 OY기프트카드 1만원 20명 3등 라로슈포제 베스트 키트 50명 ', '이벤트 바로가기', '꼭 알아두세요', ' BENEFIT. 03 브랜드 위크 기간에만 만날 수 있는 라로슈포제 베스트셀러를 특별한 가격으로 소개해요. ', '라로슈포제 시카플라스트 밤 B5+ 100ml 더블 기획', '라로슈포제 시카플라스트 B5 스프레이 100ml', '라로슈포제 히알루 B5 세럼 30ml(1.5ml) + 똘러리앙 로션 15ml', '라로슈포제 시카플라스트 크림 B5 100ml(+15ml x 2ea)', ' 09:58 Monday, March 27 SKIN Goon Morning! 잘 잤어? 2m ago SKIN 오늘 연차니까 어디 나갈 생각말고 나도 휴가 좀 줘 now SKIN 거울로 내 상태 좀 봐줄래? 완전 엉망이라구! now ', ' Today is RECOVERY DAY 환절기 피부 컨디션 회복 루틴 모처럼 찾아온 휴일, 오늘은 집 밖에 한 발자국도 나가지 않으리라 결심하며 미뤄둔 피부 관리를 시작해 본다. 01 DRINKING WATER 온전히 나를 위해 푹 쉬기로 결심한 날, 깨끗한 물 한잔으로 오늘 하루를 시작해 볼까? ', ' 일어나자마자 공복에 물 한 잔! #수분충전 ', ' 02 SOOTHING \xa0 REPAIRING SKIN 건조한 환경과 미세먼지, 스트레스까지 모두 안녕! 매일 피부를 괴롭히던 것들로부터 해방될 시간. ', ' 피부 컨디션 회복에는 이만 한 게 없지 #인생시카 #내피부구원자 ', '라로슈포제 시카플라스트 밤 B5+', ' 피부가 민감할수록 선택과 집중이 필요한 법. 지금이 환절기 필수템 시카플라스트 밤 B5를 꺼낼 때가 아닐까? ', ' 판테놀과 마데카소사이드 그리고 트라이바이오마라는 특허성분까지, 피부 컨디션을 회복하는 데 꼭 필요한 성분은 다 들어있어 든든해. 트라이바이오마 : 프랑스 특허를 획득한 프리바이오틱스 추출물 복합체 ', '라로슈포제 시카플라스트 밤 B5+', ' 피부에 닿는 즉시 느껴지는 부드럽고 포근한 질감! 완전히 스며들고 나면 촉촉함과 편안함만 남는 게 매력이야. ', '라로슈포제 시카플라스트 밤 B5+ 100ml', '장바구니 담기', ' 03 RECOVERY BODY SKIN 날이 좋아 내리쬐는 햇살을 맞으며 한참을 돌아다녔더니 온몸이 건조하고 거칠어진 기분이야. 하지만 시카플라스트 밤 B5+ 하나면 바디 피부까지 한 번에 관리할 수 있어. ', ' 04 MOISTURE RECHARGING 따뜻한 날씨 탓에 모공이 커지고 홍조가 올라와 얼굴이 잘 익은 토마토 같아. 가습기로 촉촉한 환경을 만들어주고 시카 스프레이를 수시로 뿌려주었더니 피부가 빠르게 진정되는 게 신기해. ', 'TOUCH HERE!', ' 피부가 민감할수록 선택과 집중이 필요한 법. 지금이 환절기 필수템 시카플라스트 밤 B5를 꺼낼 때가 아닐까? ', '라로슈포제 시카플라스트 B5 스프레이 100ml', '라로슈포제 시카플라스트 B5 스프레이 100ml', '장바구니 담기', ' 05 SOS! SKINCARE ROUTINE 푹 쉬었는데 왜 피곤한 기색은 그대로인거야? 얼굴에 생기를 불어넣을 특별한 솔루션이 필요해! ', ' 라로슈포제 어벤져스로 방전된 피부 살리기 #손상 피부장벽 #집중케어 프로젝트 손상 : 32-64세 여성 20명을 대상으로 피부 각질층에 손상 유발 후, 제품 도포 1시간 후 제품 도포 부위의 피부 장벽 수분 손실량을 무도포 부위와 비교하여 얻은 결과, 개인차 있을 수 있음 ', '라로슈포제 히알루 B5 세럼 30ml', ' 환절기 피부 집중 관리 솔루션 STEP1 세안 후 얼굴에 시카 스프레이 뿌리고 톡톡 두드려 흡수시키기 STEP2 히알루 세럼으로 피부 컨디션 끌어 올리기 STEP3 시카 밤을 바르고 촉촉히 스며들 때까지 충분히 롤링하기 FINISH 거울로 수분광 넘치는 피부 확인하기! ', ' 평소 사용하는 파운데이션에 히알루 B5 세럼을 두 방울 섞어 바르기! 얼굴에 매끈한 광이 살아나는게 보일걸? ', '라로슈포제 히알루 B5 세럼 30ml', '장바구니 담기', ' Reminder check your healty skin 은은한 속광이 말해주는 피부의 건강함. 라로슈포제와 함께라면 피부를 위협하는 어떤 상황이 와도 두렵지 않아. ', ' Editer 이혜리 Designer 신유나 Film Director 김상은 Makeup Artist 박수연 Hair Stylist 박수정 Fashion Stylist 전현좌 Designer 박하림 Publisher 이원지 ', '닫기', '닫기', '닫기']","['전체', '내 피부 컨디션은 언제나 최상✨', '클렌징 폼(foam) 미쳤다💦', '좋은 건 더블로 누려요💙']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102790034&trackingCd=Home_Planshop1_3_PROD
노베브X재유 UP TO 23%,23.03.27,23.03.31,노베브,"

노베브
숨은애교살을찾아줘요
최대 23%할인


","["" nobev X JEYU 재유'S PICK 노베브 BEST 제품 최대 23% OFF""]","['전체', '💘재유처럼 애교살만들기💘', '함께 쓰는 노베브 BEST템💘', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750066&trackingCd=Home_Planshop1_4_PROD
2022 헤어케어 1위 어노브 특가💖,23.03.27,23.03.31,어노브,"

어노브
36가지영양성분이 만든부드러움
최대 32%할인, 쿠폰


",[' 올리브영 헤어케어 1위 어노브 전제품 기획전 단 5일 오직 올리브영에서만!'],"['전체', '부드러움에 집착💕어노브', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102850038&trackingCd=Home_Planshop1_5_PROD
해은 P!CK! 좋은느낌으로 환승할 시간,23.03.27,23.03.31,좋은느낌,"

좋은느낌
유기농이라안심되는오늘밤
최대 55%할인


","[""03.27-03.31 해은's PICK 좋은 생리대로 환승할 시간 무표백 100% 유기농순면커버""]","['전체', '좋은느낌 BEST', '\xa0', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102860025&trackingCd=Home_Planshop1_6_PROD
사랑스러운 바닐라코 X 바비™ 콜라보,23.03.27,23.03.31,바닐라코,"

바닐라코
바비™와 함께사랑스러움을더해요
최대 48%할인


",[' 바닐라코 X 바비 요즘 대세 메이크업! 올리브영에서 5일간 최대 48%할인'],"['전체', '사랑스러운 완전체 립', '더 완벽한 아이 메이크업', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102750063&trackingCd=Home_Planshop1_7_PROD
형원PICK 웰라쥬 최대 52% 할인!,23.03.27,23.03.31,웰라쥬,"

웰라쥬
환절기끝에서수분 채우기
더블기획 및 최대 52%할인


",[' 새로운 수분의 기준 웰라쥬 백점수분 듀오 3월 한정 역대급 세일/혜택'],"['전체', '웰라쥬 BEST 모음!', '웰라쥬 추천템 모음!', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102700038&trackingCd=Home_Planshop1_8_PROD
프레시지 완전쉽지! ,23.03.27,23.03.31,프레시지,"

프레시지
근사한 플레이팅 집에서 만나요
최대 38%할인


","[' 완전쉽지 프레시지 증정 및 추가할인 단, 5일간 금액 별 사은행사 및 추가할인']","['전체', '프레시지 BEST 기획세트', '베스트 밀키트', '완전편한 간편식']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102820066&trackingCd=Home_Planshop1_9_PROD
남성 뷰튜버들의 원픽! 비레디 ,23.03.27,23.03.31,비레디,"

비레디
멋내고 싶은요즘 날씨에
베스트셀러 기획세트 최대 34%할인


",[' Get Ready With B.READY 비레디 베스트 셀러 기획세트 런칭 기념'],"['전체', '비레디 한정 기획 런칭✨', '관리하는 남자 필수템✔', '\xa0']",https://www.oliveyoung.co.kr/store/planshop/getPlanShopDetail.do?dispCatNo=500000102710028&trackingCd=Home_Planshop1_10_PROD
